=== modal probe tag=corpus_v8ref_vs_v7ref ===
script tools/probe_corpus_moves.py | env {'PFENS': '/repo/results/leak_suite/fens.json', 'PBUDGET_MS': '2600'}
A = /tmp/chessathon-v8ref
B = /tmp/chessathon-v7ref

----- tree A (/tree_a) rc=0 -----
=== corpus probe [/tree_a] fens=107 budget=2600ms ===
  78 | round-90-vs-chessbuste | ply  29 | Rc6     | pick=c3c1   | static=    21 | eval_before=   189
  79 | round-90-vs-chessbuste | ply  59 | Ne6+    | pick=a7a5   | static=   -94 | eval_before=   262
  80 | round-90-vs-chessbuste | ply  63 | Nf8     | pick=e6d8   | static=   -52 | eval_before=    22
  81 | round-90-vs-chessbuste | ply  69 | Kg3     | pick=h3g2   | static=   -51 | eval_before=  -710
  82 | round-90-vs-chessbuste | ply  81 | Ke1     | pick=f1g1   | static=  -206 | eval_before= -1366
  83 | round-91-vs-epoch-mate | ply  86 | g4      | pick=a3a2   | static=   730 | eval_before=  1322
  84 | round-92-vs-team-i-lov | ply  54 | Kg3     | pick=d4e3   | static=   126 | eval_before=     0
  85 | round-92-vs-team-i-lov | ply  56 | Qb3     | pick=d5b3   | static=   103 | eval_before=  -180
  86 | round-92-vs-team-i-lov | ply  58 | Rb5     | pick=b4b5   | static=   102 | eval_before=  -193
  87 | round-92-vs-team-i-lov | ply  62 | Ne3     | pick=g4e3   | static=   107 | eval_before=  -644
  88 | round-92-vs-team-i-lov | ply  64 | Qd5     | pick=b3d5   | static=   100 | eval_before= -1043
  89 | round-92-vs-team-i-lov | ply  66 | Bxe3    | pick=d4e3   | static=  -253 | eval_before= -1498
  90 | round-93-vs-brokefish  | ply  24 | Rc4     | pick=c1c4   | static=    45 | eval_before=   490
  91 | round-93-vs-brokefish  | ply  28 | Rxc5    | pick=c4c5   | static=     0 | eval_before=   725
  92 | round-93-vs-brokefish  | ply  30 | R1c2    | pick=c1c2   | static=    13 | eval_before=   565
  93 | round-93-vs-brokefish  | ply  32 | Bg5     | pick=d2g5   | static=    26 | eval_before=   301
  94 | round-93-vs-brokefish  | ply  82 | Rb8+    | pick=b7b8   | static=   227 | eval_before=   561
  95 | round-93-vs-brokefish  | ply  86 | Nb4     | pick=c6b4   | static=   218 | eval_before=   645
  96 | round-94-vs-tal        | ply  38 | Qg1+    | pick=h2g1   | static=   220 | eval_before=  1339
  97 | round-94-vs-tal        | ply  42 | e5      | pick=g8f8   | static=   820 | eval_before=  1221
  98 | round-96-vs-bongcloud  | ply  31 | e5      | pick=e7e5   | static=  -197 | eval_before=   -24
  99 | round-96-vs-bongcloud  | ply  33 | Ke6     | pick=f7e6   | static=  -128 | eval_before=   -71
 100 | round-96-vs-bongcloud  | ply  65 | Ba6     | pick=e6f7   | static=  -101 | eval_before=  -341
 101 | round-96-vs-bongcloud  | ply  83 | Kf7     | pick=e6f7   | static=  -105 | eval_before=  -832
 102 | round-96-vs-bongcloud  | ply  85 | Rg5     | pick=g4g5   | static=  -143 | eval_before=  -870
 103 | round-96-vs-bongcloud  | ply  87 | Ke6     | pick=f7e6   | static=  -138 | eval_before= -1117
 104 | round-96-vs-bongcloud  | ply  89 | Kd5     | pick=e6d5   | static=  -124 | eval_before= -4627
 105 | round-96-vs-bongcloud  | ply  91 | Ke6     | pick=d5d6   | static=  -137 | eval_before= -1849
 106 | round-96-vs-bongcloud  | ply  93 | Kd6     | pick=e6d6   | static=  -137 | eval_before= -6110
=== done 107 rows in 277s ===
[stderr tail] [chessathon] numba warmup 46.9s (init budget ok)

----- tree B (/tree_b) rc=0 -----
=== corpus probe [/tree_b] fens=107 budget=2600ms ===
   0 | round-64-vs-snake      | ply   9 | Qc2     | pick=e3e4   | static=   -12 | eval_before=     0
   1 | round-64-vs-snake      | ply  23 | Kf1     | pick=e3e4   | static=     0 | eval_before=    20
   2 | round-64-vs-snake      | ply  51 | h4      | pick=c3c4   | static=    99 | eval_before=  -170
   3 | round-64-vs-snake      | ply  63 | Rh3     | pick=f4e2   | static=   -15 | eval_before=   165
   4 | round-64-vs-snake      | ply  69 | exf4    | pick=g3e2   | static=    53 | eval_before=    70
   5 | round-64-vs-snake      | ply  83 | Rxc3    | pick=c2c1   | static=   -70 | eval_before=  -279
   6 | round-64-vs-snake      | ply 129 | Qh7+    | pick=g6g5   | static=   -20 | eval_before=     0
   7 | round-64-vs-snake      | ply 181 | h5      | pick=h4h5   | static=    -9 | eval_before=  -192
   8 | round-64-vs-snake      | ply 183 | Qxa2    | pick=e5e6   | static=  -129 | eval_before=  -617
   9 | round-64-vs-snake      | ply 187 | Kh2     | pick=h3h2   | static=  -101 | eval_before= -1092
  10 | round-64-vs-snake      | ply 189 | h7      | pick=h6h7   | static=  -188 | eval_before= -1064
  11 | round-64-vs-snake      | ply 193 | Kh2     | pick=h1h2   | static=  -293 | eval_before= -7671
  12 | round-64-vs-snake      | ply 195 | Kg1     | pick=g2g4   | static=  -283 | eval_before=  -994
  13 | round-64-vs-snake      | ply 197 | Kf1     | pick=g1f2   | static=  -329 | eval_before= -7504
  14 | round-64-vs-snake      | ply 207 | Kh2     | pick=e6e7   | static=  -854 | eval_before= -6486
  15 | round-68-vs-rook-and-r | ply  13 | Bxc2    | pick=a2c2   | static=   -58 | eval_before=    54
  16 | round-68-vs-rook-and-r | ply  15 | Qa1+    | pick=b8d7   | static=    64 | eval_before=     0
  17 | round-68-vs-rook-and-r | ply  29 | Kd6     | pick=c7d6   | static=     2 | eval_before=  -460
  18 | round-68-vs-rook-and-r | ply  33 | Bg6     | pick=a1f6   | static=    52 | eval_before=  -822
  19 | round-68-vs-rook-and-r | ply  39 | Kxf4    | pick=e4f4   | static=   -21 | eval_before=  -995
  20 | round-68-vs-rook-and-r | ply  41 | Bf5     | pick=g6f5   | static=   -41 | eval_before= -1276
  21 | round-68-vs-rook-and-r | ply  43 | Ke5     | pick=f4e5   | static=   -14 | eval_before= -1734
  22 | round-70-vs-kingsguard | ply  12 | Nb4     | pick=c6b4   | static=    22 | eval_before=   -71
  23 | round-70-vs-kingsguard | ply  42 | Bh4     | pick=a8g8   | static=  -236 | eval_before=  -560
  24 | round-70-vs-kingsguard | ply  46 | Rac8    | pick=c7b7   | static=  -177 | eval_before=  -758
